scorer,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000,DLC_resnet101_guitest6-25shuffle1_50000
bodyparts,lefthand,lefthand,lefthand,righthand,righthand,righthand,leftfoot,leftfoot,leftfoot,rightfoot,rightfoot,rightfoot,mouth,mouth,mouth
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
22,1424.75341796875,221.17611694335938,0.7422875761985779,1422.8912353515625,223.12506103515625,0.7358081340789795,1507.8072509765625,130.41065979003906,0.9776568412780762,1570.0550537109375,377.150390625,0.5953751802444458,1377.0540771484375,138.4835205078125,0.9109154343605042
23,1397.2449951171875,221.66976928710938,0.684362530708313,1396.2861328125,225.72952270507812,0.9127489924430847,1506.5418701171875,130.96473693847656,0.9683745503425598,1569.625244140625,376.6461181640625,0.5816333889961243,1444.0413818359375,183.3518524169922,0.9874597191810608
24,1505.00537109375,132.1498260498047,0.1462714672088623,1375.8433837890625,242.4767303466797,0.6470441818237305,1505.5272216796875,130.59950256347656,0.970237135887146,1376.4190673828125,240.48829650878906,0.5095053911209106,1423.44140625,183.03941345214844,0.9814973473548889
25,1716.380126953125,235.35426330566406,0.23413607478141785,1378.1695556640625,249.01947021484375,0.6156414151191711,1504.8118896484375,129.98350524902344,0.9620769619941711,1377.4254150390625,249.48541259765625,0.6950553059577942,1313.6763916015625,164.92745971679688,0.9930111169815063
26,1379.6854248046875,247.88687133789062,0.3426237106323242,1377.980712890625,248.60365295410156,0.5485790967941284,1504.563720703125,129.50372314453125,0.9495351314544678,1376.83642578125,249.7983856201172,0.35921040177345276,1294.6512451171875,177.78733825683594,0.98997962474823
27,1378.875,247.31182861328125,0.575546383857727,1377.6302490234375,247.5863037109375,0.4769260287284851,1504.4290771484375,129.6424102783203,0.924368679523468,1561.3253173828125,372.77838134765625,0.18338501453399658,1280.1763916015625,182.24754333496094,0.9952813386917114
28,1378.896728515625,247.5561981201172,0.6786738038063049,1377.948486328125,247.5996856689453,0.5209724307060242,1501.9105224609375,126.60472106933594,0.7166314721107483,1568.4515380859375,141.42173767089844,0.5921233296394348,1262.7164306640625,184.49807739257812,0.9808294177055359
29,1378.115478515625,246.20269775390625,0.8285033702850342,1377.445556640625,246.27752685546875,0.4954774081707001,1565.47998046875,137.3256072998047,0.5750601291656494,1566.3096923828125,137.51129150390625,0.5285005569458008,1247.3382568359375,187.8402099609375,0.9670297503471375
30,1377.7274169921875,245.577880859375,0.955913782119751,1608.326416015625,242.62750244140625,0.5491247177124023,1566.019287109375,137.64761352539062,0.9099098443984985,1566.3685302734375,137.3262176513672,0.3950174152851105,1230.9725341796875,210.5660400390625,0.9683445692062378
31,1377.727783203125,245.42430114746094,0.9699795842170715,1601.302001953125,238.01661682128906,0.6535385847091675,1564.15771484375,136.12962341308594,0.8813132047653198,1562.3284912109375,359.5505065917969,0.6367893815040588,1318.5157470703125,188.61087036132812,0.9575560092926025
32,1377.6605224609375,245.2372283935547,0.9722103476524353,1589.5567626953125,231.11215209960938,0.8086926937103271,1558.909423828125,135.59344482421875,0.9492151141166687,1562.908447265625,135.35345458984375,0.32667890191078186,1607.712890625,234.3077392578125,0.9516099691390991
33,1376.98583984375,245.30010986328125,0.9672991037368774,1279.974365234375,218.2860565185547,0.6533718705177307,1556.763916015625,133.28428649902344,0.9846152067184448,1512.1519775390625,299.98492431640625,0.7376283407211304,1600.9102783203125,223.28985595703125,0.9647612571716309
34,1375.7230224609375,245.15863037109375,0.9290001392364502,1271.970947265625,257.9723205566406,0.9319248199462891,1556.557861328125,132.06918334960938,0.990278959274292,1525.203125,288.9126892089844,0.8241475820541382,1585.1256103515625,217.14842224121094,0.975610613822937
35,1375.34619140625,245.9050750732422,0.9220439195632935,1262.96240234375,289.86566162109375,0.7642892599105835,1555.84228515625,133.5370635986328,0.9877561330795288,1263.203857421875,285.1311340332031,0.8393446207046509,1248.843017578125,363.0220642089844,0.9538341760635376
36,1368.7164306640625,252.18862915039062,0.9063020348548889,1368.0224609375,252.59962463378906,0.9063684344291687,1556.203369140625,133.43136596679688,0.9618585109710693,1268.7303466796875,287.20880126953125,0.8448042869567871,1247.7027587890625,387.3686218261719,0.9620717763900757
37,1355.0550537109375,313.03778076171875,0.4968036413192749,1352.073974609375,310.413818359375,0.9613998532295227,1554.8861083984375,131.9296875,0.9798078536987305,1269.874267578125,287.929443359375,0.9140892028808594,1251.3175048828125,405.5968933105469,0.980526328086853
38,1350.5587158203125,367.4397888183594,0.9513642191886902,1348.954345703125,367.94012451171875,0.6858577132225037,1552.9310302734375,131.00807189941406,0.9830660820007324,1271.2593994140625,289.3295593261719,0.8332198858261108,1558.73388671875,219.4099578857422,0.9746043682098389
